row_index,sample_id,Question,Answer,Question Type,Year,Paragraph,image_sha256,image_cache_path,image_fast_path,image_width,image_height,image_pixels
1679,row_01679_ef2f24216909,the average per person health spending in between the period 2014-19 dollars is a little bit more than 3k usd.,['False'],Fact Checking,['NO'],,e4b1548ecd44454078f86d0aafe5b8f5305c2c5b5f1425f4f317f28fe146e7fe,/content/ChartQAPro_Evidence_First_Reasoning_cache/row_01679_ef2f24216909.jpg,/content/ChartQAPro_Evidence_First_Reasoning_cache/row_01679_ef2f24216909.rgb.png,1623,1398,2268954
1491,row_01491_4985123762f0,5g smartphones will consistently show an increasing trend from 2020 to 2025.,['True'],Fact Checking,['NO'],,fcdda425e9377dbc6a3c484db448973f0d6bfaa345dc97475b43c0ed1a78a8d6,/content/ChartQAPro_Evidence_First_Reasoning_cache/row_01491_4985123762f0.jpg,/content/ChartQAPro_Evidence_First_Reasoning_cache/row_01491_4985123762f0.rgb.png,1200,675,810000
1070,row_01070_439d835f4b63,"Turn 1: how does the number of injury crashes compare to property damage only (pdo) crashes?
Final question: what is the highest weekly count for pdo crashes?","['Higher (PDO)', '48']",Conversational,"['NO', 'NO']",,9d1cbebc5450ff84c8b2b09c2d2e6a8f01e4aa135df5d8014527c3a38533a9bb,/content/ChartQAPro_Evidence_First_Reasoning_cache/row_01070_439d835f4b63.jpg,/content/ChartQAPro_Evidence_First_Reasoning_cache/row_01070_439d835f4b63.rgb.png,1200,773,927600
150,row_00150_318c66f77f67,"what is the difference in the percentage of u.s. catholics who say abortion should be “legal in all cases, no exceptions” between those who attend mass weekly or more often and those who attend less often?",['12%'],Factoid,['NO'],"Among Catholics who attend Mass at least once a week, about twothirds (68%) say abortion should be illegal in all or most cases, and about half or fewer support exceptions that would make abortion legal in the case of rape (43%) or threats to the life or health of the mother (49%).
Most Mass attenders also believe life begins at conception. Seven-in-ten Catholics who go to church at least once a week say the statement “Human life begins at conception, so a fetus is a person with rights” describes their own views very or extremely well.
On these core questions about abortion’s legality and the start of human life, Mass-attending Catholics are about as conservative as White evangelical Protestants, who stand out among U.S. religious groups for their strong opposition to abortion.
In stark contrast, most Catholics who do not attend Mass weekly (65%) say abortion should be legal in all or most cases, including three-quarters who say it should be legal in cases of rape or threats to the well-being of the pregnant woman. Only around a third of Catholics who attend Mass less than once a week (35%) say they believe life begins at conception.",69c823190961e4c56ee1c133d0fd164cea591ea1bbbd8260458b453f1d653b1f,/content/ChartQAPro_Evidence_First_Reasoning_cache/row_00150_318c66f77f67.jpg,/content/ChartQAPro_Evidence_First_Reasoning_cache/row_00150_318c66f77f67.rgb.png,1280,1512,1935360
1672,row_01672_dae7a99362fb,us bank lending dropped more sharply just before the 2008 global financial crisis.,['Unanswerable'],Fact Checking,['NO'],,b01c91ff76e7ef49ea9bcc6a44b5b33ef062e4ab9ef60373f56fb0dc9559c1a5,/content/ChartQAPro_Evidence_First_Reasoning_cache/row_01672_dae7a99362fb.jpg,/content/ChartQAPro_Evidence_First_Reasoning_cache/row_01672_dae7a99362fb.rgb.png,316,237,74892
1381,row_01381_f7b3c73d401f,"if we do not consider latin american and asian countries, which country would be the second best place to invest in startups?",['Spain'],Hypothetical,['NO'],,0055c9293edf3496154ede07993ba8e34c7316836ff065a24bb4ddd474a210b4,/content/ChartQAPro_Evidence_First_Reasoning_cache/row_01381_f7b3c73d401f.jpg,/content/ChartQAPro_Evidence_First_Reasoning_cache/row_01381_f7b3c73d401f.rgb.png,495,720,356400
1850,row_01850_1d284c2a6cd5,"what percentage of calls are made during regular business hours?
a) 10
b) 20
c) 30
d) 40",['Unanswerable'],Multi Choice,['NO'],,1f1dd6ab9ef9888e120c7403812b5e2717fb7b9d5fa69a4b5100a8767c2cc14f,/content/ChartQAPro_Evidence_First_Reasoning_cache/row_01850_1d284c2a6cd5.jpg,/content/ChartQAPro_Evidence_First_Reasoning_cache/row_01850_1d284c2a6cd5.rgb.png,927,457,423639
1187,row_01187_46d879de2078,"Turn 1: what's the overall favorite chocolate bar in the uk according to this data?
Turn 2: what is the difference in rank between this bar and the ranking of the median ranking chocolate bar?
Turn 3: which chocolate bar seems to be the most divisive among the different age groups?
Turn 4: which chocolate bars are the opposiste of the bar just given in the sense that they are consistent for all 4 groups?
Turn 5: from all the three chocolate bars given, what is the difference between the highest and lowest ranking?
Final question: what about the highest ratio possible from all the rankings between those three chocolates?","['Mars', '6', 'Dairy Milk', '[Mars, Galaxy, Twirl]', '8', '9']",Conversational,"['NO', 'NO', 'NO', 'NO', 'NO', 'NO']",,3303a79481dba6f2220e8ce8c2b50caccea16cddaa57bb296e923c2cb1b6cf49,/content/ChartQAPro_Evidence_First_Reasoning_cache/row_01187_46d879de2078.jpg,/content/ChartQAPro_Evidence_First_Reasoning_cache/row_01187_46d879de2078.rgb.png,1935,1685,3260475
617,row_00617_1a1685cdd138,"what is the two times average percentage of people who feel comfortable in their environment, feel their environment helps productivity, and consider their environment uplifting when they report having ""a lot"" of natural light at work?",['74%'],Factoid,['NO'],,fa0b1c696bf9b94f3ba440ddeb3798ce6e61da58467461a60f427474d65006bd,/content/ChartQAPro_Evidence_First_Reasoning_cache/row_00617_1a1685cdd138.jpg,/content/ChartQAPro_Evidence_First_Reasoning_cache/row_00617_1a1685cdd138.rgb.png,800,465,372000
1572,row_01572_cf17e10235fc,cities in north america on average have higher bubble risk scores compared to cities in europe.,['False'],Fact Checking,['NO'],,2e6ce7e4befb75e420c4e86f9958381666bb45251a99c023aafe143a8dfee725,/content/ChartQAPro_Evidence_First_Reasoning_cache/row_01572_cf17e10235fc.jpg,/content/ChartQAPro_Evidence_First_Reasoning_cache/row_01572_cf17e10235fc.rgb.png,1008,1250,1260000
