Question Type,Year,Answer,prediction,score
Multi Choice,['NO'],['C'],b,0.0
Fact Checking,['NO'],['True'],true,1.0
Fact Checking,['NO'],['Unanswerable'],true,0.0
Fact Checking,['NO'],['False'],unanswerable,0.0
Hypothetical,['NO'],['Lower'],lower,1.0
Fact Checking,['NO'],['Unanswerable'],true,0.0
Fact Checking,['NO'],['False'],unanswerable,0.0
Hypothetical,['NO'],['Yes'],yes,1.0
Factoid,['NO'],['15.92'],1.45,0.0
Hypothetical,['NO'],['1.4'],9.6,0.0
Factoid,['NO'],['5200'],1.4,0.0
Factoid,['NO'],['5 years'],2,0.0
Conversational,['NO'],"['82%', '27.3']",1.25,0.0
Conversational,['NO'],"['Venezuela', 'Saudi Arabia']",angola,0.0
Conversational,['NO'],"['Venezuela', 'Saudi Arabia', '2.8%', 'No']",no,1.0
Factoid,['NO'],['-556.39'],"-1,091.0",0.0
Factoid,['NO'],['Unanswerable'],$866.55,0.0
Hypothetical,['NO'],['15.45'],10.5,0.0
Hypothetical,['YES'],['2012'],2005,0.0
Fact Checking,['NO'],['True'],true,1.0
Fact Checking,['NO'],['False'],false,1.0
Factoid,['NO'],['March'],[Apr 2020],0.0
Conversational,['NO'],"['4000', 'decrease']",decrease,1.0
Multi Choice,['NO'],['B'],d,0.0
Factoid,['YES'],['2010'],1995,0.0
Fact Checking,['NO'],['False'],true,0.0
Factoid,['NO'],['Unanswerable'],1.5,0.0
Factoid,['NO'],['5'],1,0.0
Multi Choice,['NO'],['A'],c,0.0
Factoid,['NO'],['Yes'],yes,1.0
Factoid,['NO'],['0.1'],10,0.0
Multi Choice,['NO'],['C'],c,1.0
Fact Checking,['NO'],['True'],true,1.0
Conversational,['NO'],"['GDP', 'Libya', 'unanswerable', 'Ireland']",qatar,0.0
Hypothetical,['NO'],['Yes'],yes,1.0
Fact Checking,['NO'],['False'],true,0.0
Factoid,['NO'],['Unanswerable'],unanswerable,1.0
Fact Checking,['NO'],['False'],unanswerable,0.0
Factoid,['NO'],['74.457'],-11.61,0.0
Hypothetical,['NO'],['Different'],similar,0.0
Conversational,['NO'],"['Demand trend', '[Day ahead forecast, Hour ahead forecast, Demand (5 min. avg.)]']",demand,0.0
Conversational,['NO'],"['7', '40K', '50%', '53%', 'Yes', 'Yes']",yes,1.0
Conversational,['NO'],"['[Obama, Romney]', 'unanswerable']","Obama, Romney",0.0
Conversational,['NO'],"['[Obama, Romney]', 'unanswerable', 'unanswerable', 'Obama', 'unanswerable']","Obama, Romney",0.0
Fact Checking,['NO'],['Unanswerable'],true,0.0
Fact Checking,['NO'],['True'],true,1.0
Fact Checking,['NO'],['Unanswerable'],true,0.0
Hypothetical,['NO'],['-18.2'],-18,1.0
Fact Checking,['NO'],['Unanswerable'],true,0.0
Multi Choice,['NO'],['Unanswerable'],a,0.0
Factoid,['NO'],['Unanswerable'],0.9,0.0
Conversational,['NO'],"['25%', '2020', 'Yes']",2009,0.0
Fact Checking,['NO'],['True'],true,1.0
Conversational,['NO'],"['Increasing', '32', '25th September', '5', 'No']",yes,0.0
Fact Checking,['NO'],['False'],true,0.0
Factoid,['NO'],['Yes'],yes,1.0
Fact Checking,['NO'],['True'],true,1.0
Hypothetical,['NO'],['34.5'],$1.8 billion,0.0
Multi Choice,['NO'],['D'],b,0.0
Factoid,['NO'],['Unanswerable'],6.5,0.0
Fact Checking,['NO'],['True'],true,1.0
Fact Checking,['NO'],['True'],false,0.0
Hypothetical,['NO'],['likely'],unlikely,0.75
Multi Choice,['NO'],['C'],c,1.0
Multi Choice,['NO'],['A'],a,1.0
Hypothetical,['NO'],['No'],yes,0.0
Conversational,['NO'],"['Line graphs', '4', 'January', 'July', 'Daily tests', 'Daily Deaths']",january,0.0
Conversational,['NO'],"['1', 'Native American']",black,0.0
Multi Choice,['NO'],['Unanswerable'],d,0.0
Conversational,['NO'],"['25%', 'Increasing']",decreasing,0.8
Factoid,['NO'],['Yes'],yes,1.0
Hypothetical,['NO'],['423K'],1.1m,0.0
